,Date,CustomerNumber,SKU,SalePrice
0,2024-01-01,2964688464108,43759001,2.6
1,2024-01-01,2964688464108,42283001,9.59
2,2024-01-01,2964688464108,42209001,2.22
3,2024-01-01,2964688464108,43500001,4.43
4,2024-01-01,2964688464108,42669001,3.95
5,2024-01-01,2964688464108,43636001,8.63
6,2024-01-01,2964688464108,43866001,2.03
7,2024-01-01,2964688464108,42986001,3.24
8,2024-01-01,2964688464108,43715001,2.35
9,2024-01-01,2964688464108,42929001,4.31
10,2024-01-01,2964688464108,43093001,3.3
11,2024-01-01,2964688464108,43563001,3.34
12,2024-01-01,2964688464108,44097001,1.67
13,2024-01-01,2964688464108,43980001,0.68
14,2024-01-01,2964688464108,43609001,8.99
15,2024-01-01,2964688464108,43895001,3.86
16,2024-01-01,2964688464108,42147001,1.68
17,2024-01-01,2964688464108,42164001,3.0
18,2024-01-01,2964688464108,44009001,1.43
19,2024-01-01,2964688464108,42452001,0.86
20,2024-01-01,2964688464108,42103001,1.85
21,2024-01-01,2964688464108,44055001,0.76
22,2024-01-01,2964688464108,42180001,3.0
23,2024-01-01,2964688464108,43694001,8.39
24,2024-01-01,2964688464108,42322001,0.84
25,2024-01-01,2964688464108,43732001,0.86
26,2024-01-01,2964688464108,42916001,3.0
27,2024-01-01,2964688464108,42833001,1.82
28,2024-01-01,2964688464108,43208001,2.15
29,2024-01-01,9094742407904,42359001,4.43
30,2024-01-01,9094742407904,44013001,2.75
31,2024-01-01,9094742407904,43531001,6.23
32,2024-01-01,9094742407904,42905001,5.27
33,2024-01-01,9094742407904,42573001,4.79
34,2024-01-01,9094742407904,42827001,0.88
35,2024-01-01,9094742407904,42472001,2.78
36,2024-01-01,9094742407904,42313001,2.75
37,2024-01-01,9094742407904,44016001,1.55
38,2024-01-01,9094742407904,43302001,2.99
39,2024-01-01,9094742407904,43042001,13.19
40,2024-01-01,9094742407904,43216001,12.59
41,2024-01-01,9094742407904,43538001,6.59
42,2024-01-01,9094742407904,43407001,6.58
43,2024-01-01,9094742407904,42365001,1.12
44,2024-01-01,9094742407904,43055001,2.82
45,2024-01-01,9094742407904,44054001,0.91
46,2024-01-01,9094742407904,42936001,4.31
47,2024-01-01,9094742407904,42088001,5.99
48,2024-01-01,9094742407904,42343001,3.95
49,2024-01-01,9094742407904,43751001,4.73
50,2024-01-01,9094742407904,42298001,9.59
51,2024-01-01,9094742407904,43810001,4.14
52,2024-01-01,9094742407904,43882001,3.34
53,2024-01-01,9094742407904,43046001,3.95
54,2024-01-01,9094742407904,43425001,4.19
55,2024-01-01,9094742407904,43915001,2.75
56,2024-01-01,9094742407904,43521001,1.75
57,2024-01-01,9094742407904,43757001,3.59
58,2024-01-01,9094742407904,42342001,8.39
59,2024-01-01,1868110452865,42355001,4.43
60,2024-01-01,1868110452865,42356001,2.27
61,2024-01-01,1868110452865,42920001,3.59
62,2024-01-01,1868110452865,43527001,5.99
63,2024-01-01,1868110452865,42572001,4.79
64,2024-01-01,1868110452865,43156001,4.07
65,2024-01-01,1868110452865,43732001,0.86
66,2024-01-01,1868110452865,43096001,1.12
67,2024-01-01,1868110452865,42517001,5.15
68,2024-01-01,1868110452865,43889001,3.98
69,2024-01-01,4850418513376,42358001,2.27
70,2024-01-01,4850418513376,42358001,2.27
71,2024-01-01,4850418513376,42654001,3.95
72,2024-01-01,4850418513376,42390001,3.0
73,2024-01-01,4850418513376,42573001,4.79
74,2024-01-01,4850418513376,42575001,4.79
75,2024-01-01,4850418513376,42311001,2.75
76,2024-01-01,4850418513376,44034001,1.31
77,2024-01-01,4850418513376,43253001,3.35
78,2024-01-01,4850418513376,42788001,22.79
79,2024-01-01,4850418513376,42636001,3.35
80,2024-01-01,4850418513376,43534001,6.59
81,2024-01-01,4850418513376,42916001,3.0
82,2024-01-01,4850418513376,42931001,4.31
83,2024-01-01,4850418513376,43520001,1.73
84,2024-01-01,4850418513376,42844001,3.53
85,2024-01-01,4850418513376,43615001,7.19
86,2024-01-01,4850418513376,43823001,2.17
87,2024-01-01,4850418513376,44111001,5.27
88,2024-01-01,1890693049259,42360001,2.27
89,2024-01-01,1890693049259,42923001,5.27
90,2024-01-01,1890693049259,42445001,5.27
91,2024-01-01,1890693049259,42906001,3.0
92,2024-01-01,1890693049259,42570001,4.79
93,2024-01-01,1890693049259,42313001,2.75
94,2024-01-01,1890693049259,44020001,1.31
95,2024-01-01,1890693049259,44043001,1.31
96,2024-01-01,1890693049259,43253001,3.35
97,2024-01-01,1890693049259,43304001,3.83
98,2024-01-01,1890693049259,43289001,1.31
99,2024-01-01,1890693049259,43032001,26.99
100,2024-01-01,1890693049259,43017001,13.19
101,2024-01-01,1890693049259,43172001,2.84
102,2024-01-01,1890693049259,42681001,1.7
103,2024-01-01,1890693049259,43099001,1.92
104,2024-01-01,1890693049259,44010001,3.16
105,2024-01-01,1890693049259,42698001,3.35
106,2024-01-01,1890693049259,42821001,5.27
107,2024-01-01,1890693049259,42332001,3.35
108,2024-01-01,8164344056587,43899001,2.22
109,2024-01-01,8164344056587,42857001,2.03
110,2024-01-01,8164344056587,43941001,3.54
111,2024-01-01,8164344056587,42270001,2.51
112,2024-01-01,8164344056587,43595001,8.51
113,2024-01-01,8164344056587,42455001,4.2
114,2024-01-01,8164344056587,42089001,4.31
115,2024-01-01,8164344056587,43535001,9.59
116,2024-01-01,8164344056587,43189001,1.57
117,2024-01-01,8164344056587,44136001,3.18
118,2024-01-01,8164344056587,43707001,3.95
119,2024-01-01,8164344056587,42597001,1.2
120,2024-01-01,8164344056587,43107001,2.7
121,2024-01-01,8164344056587,43841001,2.83
122,2024-01-01,8164344056587,43622001,7.67
123,2024-01-01,8164344056587,44115001,2.82
124,2024-01-01,8164344056587,42706001,3.35
125,2024-01-01,8164344056587,43483001,4.79
126,2024-01-01,2712908611920,42357001,4.43
127,2024-01-01,2712908611920,44048001,1.62
128,2024-01-01,2712908611920,42388001,4.2
129,2024-01-01,2712908611920,43481001,4.79
130,2024-01-01,2712908611920,42889001,4.52
131,2024-01-01,2712908611920,43383001,1.38
132,2024-01-01,2712908611920,42737001,2.72
133,2024-01-01,2712908611920,42481001,2.39
134,2024-01-01,2712908611920,44136001,3.18
135,2024-01-01,5330348743025,43963001,1.55
136,2024-01-01,5330348743025,42739001,2.8
137,2024-01-01,5330348743025,43135001,2.62
138,2024-01-01,5330348743025,42239001,1.2
139,2024-01-01,5330348743025,43466001,5.15
140,2024-01-01,5330348743025,43903001,1.61
141,2024-01-01,5330348743025,42187001,3.19
142,2024-01-01,5330348743025,43718001,3.0
143,2024-01-01,5330348743025,43583001,3.46
144,2024-01-01,5330348743025,42725001,4.12
145,2024-01-01,5330348743025,42858001,2.39
146,2024-01-01,5330348743025,43732001,0.86
147,2024-01-01,5330348743025,42226001,2.09
148,2024-01-01,5330348743025,42238001,1.2
149,2024-01-01,5330348743025,42648001,7.19
150,2024-01-01,5330348743025,42502001,0.85
151,2024-01-01,5330348743025,42375001,3.72
152,2024-01-01,5330348743025,42376001,1.93
153,2024-01-01,5330348743025,43234001,2.34
154,2024-01-01,5330348743025,42141001,0.66
155,2024-01-01,5330348743025,44008001,3.18
156,2024-01-01,5330348743025,43541001,6.59
157,2024-01-01,7264957974557,42357001,4.43
158,2024-01-01,7264957974557,42926001,5.27
159,2024-01-01,7264957974557,42447001,5.27
160,2024-01-01,7264957974557,42914001,3.0
161,2024-01-01,7264957974557,42349001,2.63
162,2024-01-01,7264957974557,42528001,4.79
163,2024-01-01,7264957974557,44123001,4.19
164,2024-01-01,7264957974557,42312001,3.71
165,2024-01-01,7264957974557,43337001,1.55
166,2024-01-01,7264957974557,44025001,0.95
167,2024-01-01,7264957974557,43311001,2.03
168,2024-01-01,7264957974557,42616001,32.39
169,2024-01-01,7264957974557,42797001,2.39
170,2024-01-01,7264957974557,43464001,3.95
171,2024-01-01,7264957974557,43599001,1.31
172,2024-01-01,7264957974557,43576001,3.23
173,2024-01-01,7264957974557,43918001,3.34
174,2024-01-01,7264957974557,42353001,7.19
175,2024-01-01,7264957974557,43656001,3.12
176,2024-01-01,5719322517504,43164001,1.12
177,2024-01-01,5719322517504,42792001,5.03
178,2024-01-01,5719322517504,43577001,3.74
179,2024-01-01,5719322517504,42088001,5.99
180,2024-01-01,5719322517504,43829001,3.31
181,2024-01-01,5719322517504,42999001,0.76
182,2024-01-01,5719322517504,43138001,4.01
183,2024-01-01,5719322517504,43463001,3.95
184,2024-01-01,5719322517504,43170001,2.08
185,2024-01-01,5719322517504,42859001,2.39
186,2024-01-01,5719322517504,43580001,0.97
187,2024-01-01,5719322517504,43932001,3.44
188,2024-01-01,5719322517504,42092001,1.2
189,2024-01-01,5719322517504,42626001,5.99
190,2024-01-01,5719322517504,42235001,3.6
191,2024-01-01,5719322517504,44076001,1.67
192,2024-01-01,5719322517504,43568001,4.06
193,2024-01-01,5719322517504,43749001,3.59
194,2024-01-01,5719322517504,43450001,3.23
195,2024-01-01,5719322517504,42982001,3.47
196,2024-01-01,4565242614928,42356001,2.27
197,2024-01-01,4565242614928,42439001,3.94
198,2024-01-01,4565242614928,43393001,9.23
199,2024-01-01,4565242614928,42572001,4.79
200,2024-01-01,4565242614928,42523001,4.19
201,2024-01-01,4565242614928,43642001,1.15
202,2024-01-01,4565242614928,42856001,3.59
203,2024-01-01,4565242614928,43660001,2.29
204,2024-01-01,4565242614928,43474001,5.15
205,2024-01-01,4565242614928,43081001,2.53
206,2024-01-01,4565242614928,43824001,2.0
207,2024-01-01,4565242614928,42292001,9.59
208,2024-01-01,4565242614928,42414001,2.0
209,2024-01-01,4565242614928,42412001,2.0
210,2024-01-01,4565242614928,42246001,1.96
211,2024-01-01,4565242614928,43483001,4.79
