,Date,CustomerNumber,SKU,SalePrice
0,2024-01-01,9356180458484,42359001,5.17
1,2024-01-01,9356180458484,42355001,5.17
2,2024-01-01,9356180458484,42919001,6.15
3,2024-01-01,9356180458484,42582001,6.01
4,2024-01-01,9356180458484,42572001,5.59
5,2024-01-01,9356180458484,42428001,2.34
6,2024-01-01,9356180458484,43616001,8.39
7,2024-01-01,9356180458484,42974001,0.7
8,2024-01-01,9356180458484,42104001,1.09
9,2024-01-01,9356180458484,43445001,4.19
10,2024-01-01,9356180458484,43164001,1.3
11,2024-01-01,9356180458484,43993001,5.24
12,2024-01-01,9356180458484,43765001,4.1
13,2024-01-01,9356180458484,42832001,3.0
14,2024-01-01,9356180458484,42296001,11.19
15,2024-01-01,9356180458484,43186001,2.58
16,2024-01-01,9356180458484,42240001,1.4
17,2024-01-01,9356180458484,42844001,4.12
18,2024-01-01,9356180458484,42999001,0.88
19,2024-01-01,9356180458484,44007001,0.95
20,2024-01-01,9356180458484,43902001,2.02
21,2024-01-01,9094309189010,42357001,5.17
22,2024-01-01,9094309189010,43387001,6.15
23,2024-01-01,9094309189010,42392001,4.19
24,2024-01-01,9094309189010,42336001,3.49
25,2024-01-01,9094309189010,42350001,3.07
26,2024-01-01,9094309189010,42331001,6.15
27,2024-01-01,9094309189010,42564001,5.31
28,2024-01-01,9094309189010,42311001,3.21
29,2024-01-01,9094309189010,43266001,3.49
30,2024-01-01,9094309189010,43319001,1.81
31,2024-01-01,9094309189010,43314001,0.97
32,2024-01-01,9094309189010,43295001,1.53
33,2024-01-01,9094309189010,43360001,1.81
34,2024-01-01,9094309189010,43216001,14.69
35,2024-01-01,9094309189010,42785001,26.59
36,2024-01-01,9094309189010,42979001,5.17
37,2024-01-01,9094309189010,42779001,15.39
38,2024-01-01,9094309189010,43699001,9.79
39,2024-01-01,9094309189010,42822001,3.92
40,2024-01-01,9094309189010,43581001,5.53
41,2024-01-01,9094309189010,43411001,4.19
42,2024-01-01,9094309189010,43423001,5.59
43,2024-01-01,9094309189010,43444001,3.77
44,2024-01-01,9094309189010,43495001,4.19
45,2024-01-01,9094309189010,42094001,4.19
46,2024-01-01,9094309189010,42323001,3.93
47,2024-01-01,9094309189010,43826001,0.97
48,2024-01-01,4352795356127,42355001,5.17
49,2024-01-01,4352795356127,42392001,4.19
50,2024-01-01,4352795356127,43530001,7.97
51,2024-01-01,4352795356127,42932001,3.5
52,2024-01-01,4352795356127,42526001,5.59
53,2024-01-01,4352795356127,43526001,8.81
54,2024-01-01,4352795356127,42567001,5.59
55,2024-01-01,4352795356127,42316001,5.59
56,2024-01-01,4352795356127,42314001,3.0
57,2024-01-01,4352795356127,42313001,3.21
58,2024-01-01,4352795356127,43268001,3.49
59,2024-01-01,4352795356127,44028001,1.11
60,2024-01-01,4352795356127,43319001,1.81
61,2024-01-01,4352795356127,43209001,30.79
62,2024-01-01,4352795356127,43617001,7.13
63,2024-01-01,4352795356127,42364001,2.37
64,2024-01-01,4352795356127,44008001,3.71
65,2024-01-01,4352795356127,43997001,3.44
66,2024-01-01,4352795356127,43122001,3.33
67,2024-01-01,4352795356127,43066001,5.35
68,2024-01-01,4352795356127,42278001,3.21
69,2024-01-01,4352795356127,42202001,2.31
70,2024-01-01,4352795356127,42853001,4.61
71,2024-01-01,4352795356127,43941001,4.13
72,2024-01-01,614496057967,42356001,2.65
73,2024-01-01,614496057967,42355001,5.17
74,2024-01-01,614496057967,43404001,6.15
75,2024-01-01,614496057967,43398001,6.57
76,2024-01-01,614496057967,42524001,4.89
77,2024-01-01,614496057967,43865001,2.51
78,2024-01-01,614496057967,44062001,3.63
79,2024-01-01,614496057967,43986001,3.88
80,2024-01-01,614496057967,42861001,2.79
81,2024-01-01,614496057967,43868001,2.37
82,2024-01-01,614496057967,42979001,5.17
83,2024-01-01,614496057967,42319001,5.17
84,2024-01-01,614496057967,43810001,4.83
85,2024-01-01,614496057967,42104001,1.09
86,2024-01-01,614496057967,43601001,7.41
87,2024-01-01,614496057967,43143001,1.22
88,2024-01-01,614496057967,43654001,2.03
89,2024-01-01,614496057967,43784001,2.58
90,2024-01-01,4367718543833,42885001,5.59
91,2024-01-01,4367718543833,42257001,3.11
92,2024-01-01,4367718543833,42748001,2.18
93,2024-01-01,4367718543833,42435001,1.25
94,2024-01-01,4367718543833,43718001,3.5
95,2024-01-01,4367718543833,42837001,3.49
96,2024-01-01,4367718543833,42775001,18.47
97,2024-01-01,4367718543833,42185001,5.15
98,2024-01-01,4367718543833,43097001,5.15
99,2024-01-01,4367718543833,42380001,2.2
100,2024-01-01,4367718543833,42807001,3.07
101,2024-01-01,4367718543833,43415001,0.7
102,2024-01-01,4367718543833,42589001,15.39
103,2024-01-01,4367718543833,42380001,2.2
104,2024-01-01,4367718543833,43144001,3.04
105,2024-01-01,4367718543833,42308001,4.19
106,2024-01-01,4367718543833,43089001,4.02
107,2024-01-01,5046013815278,42355001,5.17
108,2024-01-01,5046013815278,42654001,4.61
109,2024-01-01,5046013815278,42904001,6.15
110,2024-01-01,5046013815278,42913001,3.5
111,2024-01-01,5046013815278,42267001,2.37
112,2024-01-01,5046013815278,42335001,4.19
113,2024-01-01,5046013815278,42313001,3.21
114,2024-01-01,5046013815278,42314001,3.0
115,2024-01-01,5046013815278,43336001,1.81
116,2024-01-01,5046013815278,43342001,1.81
117,2024-01-01,5046013815278,43344001,0.97
118,2024-01-01,5046013815278,43284001,4.47
119,2024-01-01,5046013815278,43339001,1.81
120,2024-01-01,5046013815278,42621001,15.39
121,2024-01-01,5046013815278,43020001,15.39
122,2024-01-01,5046013815278,42127001,2.46
123,2024-01-01,5046013815278,42127001,2.46
124,2024-01-01,3644967212416,42998001,4.49
125,2024-01-01,3644967212416,42119001,2.74
126,2024-01-01,3644967212416,43656001,3.64
127,2024-01-01,3644967212416,43738001,6.99
128,2024-01-01,3644967212416,42196001,0.95
129,2024-01-01,3644967212416,43538001,7.69
130,2024-01-01,3644967212416,42148001,1.93
131,2024-01-01,3644967212416,42301001,9.23
132,2024-01-01,3644967212416,43859001,7.27
133,2024-01-01,3644967212416,43660001,2.67
134,2024-01-01,3644967212416,42468001,1.74
135,2024-01-01,3644967212416,43136001,4.05
136,2024-01-01,3644967212416,43236001,1.33
137,2024-01-01,3644967212416,42248001,1.85
138,2024-01-01,3644967212416,42425001,4.47
139,2024-01-01,3644967212416,43619001,7.13
140,2024-01-01,3644967212416,43643001,4.16
141,2024-01-01,3644967212416,42711001,3.35
142,2024-01-01,3644967212416,43902001,2.02
143,2024-01-01,3644967212416,42235001,4.2
144,2024-01-01,3644967212416,43674001,3.98
145,2024-01-01,3644967212416,43521001,2.04
146,2024-01-01,3644967212416,42240001,1.4
147,2024-01-01,3644967212416,43056001,3.23
148,2024-01-01,7863139997772,42314001,3.0
149,2024-01-01,7863139997772,43303001,4.47
150,2024-01-01,7863139997772,42153001,20.99
151,2024-01-01,7863139997772,42570001,5.59
152,2024-01-01,7863139997772,43029001,15.39
153,2024-01-01,7863139997772,42576001,6.01
154,2024-01-01,8216301437209,42821001,6.15
155,2024-01-01,8216301437209,42513001,2.1
156,2024-01-01,8216301437209,42969001,1.39
