,Date,CustomerNumber,SKU,SalePrice
0,2024-01-01,6514484920639,42358001,3.59
1,2024-01-01,6514484920639,42914001,4.75
2,2024-01-01,6514484920639,42528001,7.58
3,2024-01-01,6514484920639,42312001,5.87
4,2024-01-01,6514484920639,42311001,4.35
5,2024-01-01,6514484920639,44025001,1.5
6,2024-01-01,6514484920639,44025001,1.5
7,2024-01-01,6514484920639,43010001,19.93
8,2024-01-01,6514484920639,43212001,20.88
9,2024-01-01,6514484920639,43094001,3.55
10,2024-01-01,6514484920639,43146001,2.72
11,2024-01-01,6514484920639,42543001,4.16
12,2024-01-01,6514484920639,43107001,4.27
13,2024-01-01,6514484920639,43630001,9.48
14,2024-01-01,6514484920639,42578001,4.92
15,2024-01-01,6514484920639,42765001,22.78
16,2024-01-01,6514484920639,44053001,1.01
17,2024-01-01,6514484920639,42276001,3.31
18,2024-01-01,6514484920639,42795001,3.78
19,2024-01-01,6514484920639,43596001,14.23
20,2024-01-01,6514484920639,43230001,1.82
21,2024-01-01,6514484920639,43819001,5.51
22,2024-01-01,6514484920639,42720001,1.86
23,2024-01-01,6514484920639,42843001,2.72
24,2024-01-01,6514484920639,42951001,2.58
25,2024-01-01,8658862487908,44000001,7.5
26,2024-01-01,8658862487908,43557001,2.3
27,2024-01-01,8658862487908,42664001,8.34
28,2024-01-01,8658862487908,43695001,13.28
29,2024-01-01,8658862487908,43442001,5.11
30,2024-01-01,8658862487908,42987001,6.57
31,2024-01-01,8658862487908,43002001,1.67
32,2024-01-01,8658862487908,43564001,4.6
33,2024-01-01,8658862487908,42537001,4.16
34,2024-01-01,8658862487908,42506001,7.5
35,2024-01-01,8658862487908,42500001,1.41
36,2024-01-01,8658862487908,43801001,2.64
37,2024-01-01,8658862487908,43067001,5.03
38,2024-01-01,245451512173,43320001,1.31
39,2024-01-01,245451512173,42850001,3.21
40,2024-01-01,245451512173,43606001,6.25
41,2024-01-01,245451512173,44036001,1.5
42,2024-01-01,245451512173,42873001,5.68
43,2024-01-01,245451512173,43385001,7.2
44,2024-01-01,245451512173,43014001,43.68
45,2024-01-01,245451512173,42313001,4.35
46,2024-01-01,245451512173,43794001,4.75
47,2024-01-01,245451512173,43282001,5.68
48,2024-01-01,6339180784813,42358001,3.59
49,2024-01-01,6339180784813,42873001,5.68
50,2024-01-01,6339180784813,42528001,7.58
51,2024-01-01,6339180784813,42522001,7.58
52,2024-01-01,6339180784813,42314001,4.07
53,2024-01-01,6339180784813,42311001,4.35
54,2024-01-01,6339180784813,43300001,6.06
55,2024-01-01,6339180784813,44016001,2.45
56,2024-01-01,6339180784813,43267001,4.73
57,2024-01-01,6339180784813,43294001,2.07
58,2024-01-01,6339180784813,44035001,2.07
59,2024-01-01,6339180784813,43042001,20.88
60,2024-01-01,6339180784813,43024001,43.68
61,2024-01-01,6339180784813,43854001,3.02
62,2024-01-01,6339180784813,43960001,1.44
63,2024-01-01,6339180784813,42452001,1.37
64,2024-01-01,6339180784813,42754001,7.58
65,2024-01-01,6339180784813,44133001,1.48
66,2024-01-01,6339180784813,42166001,4.75
67,2024-01-01,6339180784813,42861001,3.78
68,2024-01-01,6339180784813,43150001,5.51
69,2024-01-01,4448251801165,42359001,7.01
70,2024-01-01,4448251801165,42349001,4.16
71,2024-01-01,4448251801165,43526001,11.95
72,2024-01-01,4448251801165,42357001,7.01
73,2024-01-01,4448251801165,43389001,7.2
74,2024-01-01,4448251801165,43688001,3.78
75,2024-01-01,2850672530768,42359001,7.01
76,2024-01-01,2850672530768,42357001,7.01
77,2024-01-01,2850672530768,42444001,8.34
78,2024-01-01,2850672530768,44131001,10.43
79,2024-01-01,2850672530768,42941001,4.75
80,2024-01-01,2850672530768,42584001,8.15
81,2024-01-01,2850672530768,42527001,7.58
82,2024-01-01,2850672530768,42397001,2.45
83,2024-01-01,2850672530768,42593001,20.88
84,2024-01-01,2850672530768,43659001,3.0
85,2024-01-01,2850672530768,43078001,6.56
86,2024-01-01,2850672530768,43594001,14.23
87,2024-01-01,2850672530768,43751001,7.49
88,2024-01-01,2850672530768,43596001,14.23
89,2024-01-01,2850672530768,42752001,2.45
90,2024-01-01,2850672530768,42748001,2.96
91,2024-01-01,2850672530768,42164001,4.75
92,2024-01-01,2850672530768,42489001,3.63
93,2024-01-01,2850672530768,42709001,4.54
94,2024-01-01,2850672530768,43658001,5.03
95,2024-01-01,2850672530768,42658001,3.4
96,2024-01-01,2850672530768,44006001,1.44
97,2024-01-01,2850672530768,42794001,2.85
98,2024-01-01,2850672530768,44009001,2.26
99,2024-01-01,2850672530768,43598001,13.47
100,2024-01-01,2850672530768,43116001,3.25
101,2024-01-01,2850672530768,42678001,4.22
102,2024-01-01,2850672530768,42124001,4.56
103,2024-01-01,2850672530768,43111001,4.58
104,2024-01-01,7724027998831,42359001,7.01
105,2024-01-01,7724027998831,42358001,3.59
106,2024-01-01,7724027998831,42906001,4.75
107,2024-01-01,7724027998831,42267001,3.21
108,2024-01-01,7724027998831,42562001,5.11
109,2024-01-01,7724027998831,42571001,7.58
110,2024-01-01,7724027998831,42312001,5.87
111,2024-01-01,7724027998831,43273001,3.02
112,2024-01-01,7724027998831,43211001,19.93
113,2024-01-01,7724027998831,43026001,16.51
114,2024-01-01,7724027998831,43438001,5.11
115,2024-01-01,7724027998831,42514001,8.15
116,2024-01-01,7724027998831,42559001,4.16
117,2024-01-01,7724027998831,43197001,5.21
118,2024-01-01,7724027998831,42808001,3.78
119,2024-01-01,7724027998831,42929001,6.82
120,2024-01-01,7724027998831,42163001,4.73
121,2024-01-01,7724027998831,43703001,0.99
122,2024-01-01,7724027998831,43440001,5.11
123,2024-01-01,7724027998831,43504001,13.28
124,2024-01-01,7724027998831,42235001,5.7
125,2024-01-01,7724027998831,43064001,3.57
126,2024-01-01,7724027998831,44139001,4.31
127,2024-01-01,7724027998831,44082001,3.78
128,2024-01-01,7724027998831,43108001,1.08
129,2024-01-01,7724027998831,42836001,3.19
130,2024-01-01,7724027998831,43837001,2.49
131,2024-01-01,7724027998831,43194001,1.29
132,2024-01-01,7724027998831,43432001,6.63
133,2024-01-01,7724027998831,42460001,5.36
134,2024-01-01,4413171556448,42358001,3.59
135,2024-01-01,4413171556448,44012001,4.35
136,2024-01-01,4413171556448,42915001,4.75
137,2024-01-01,4413171556448,42571001,7.58
138,2024-01-01,4413171556448,42266001,6.25
139,2024-01-01,4413171556448,42313001,4.35
140,2024-01-01,4413171556448,43560001,4.56
141,2024-01-01,4413171556448,44157001,12.52
142,2024-01-01,4413171556448,43851001,2.38
143,2024-01-01,4413171556448,42139001,5.57
144,2024-01-01,4413171556448,42530001,4.16
145,2024-01-01,4413171556448,43867001,3.4
146,2024-01-01,4413171556448,43242001,4.01
147,2024-01-01,4413171556448,42308001,5.68
148,2024-01-01,4413171556448,42230001,5.7
149,2024-01-01,4413171556448,42143001,6.8
150,2024-01-01,4413171556448,42162001,6.54
151,2024-01-01,4413171556448,44072001,2.64
152,2024-01-01,4413171556448,42541001,4.16
153,2024-01-01,4413171556448,42398001,9.48
154,2024-01-01,4413171556448,43065001,5.66
155,2024-01-01,7848433727684,43985001,2.85
156,2024-01-01,3822928461071,42360001,3.59
157,2024-01-01,3822928461071,42360001,3.59
158,2024-01-01,3822928461071,43687001,3.78
159,2024-01-01,3822928461071,42099001,4.75
160,2024-01-01,3822928461071,42923001,8.34
161,2024-01-01,3822928461071,44123001,6.63
162,2024-01-01,3822928461071,42269001,3.78
163,2024-01-01,3822928461071,42312001,5.87
164,2024-01-01,3822928461071,42312001,5.87
165,2024-01-01,3822928461071,43183001,5.59
166,2024-01-01,7031498216346,42655001,13.28
167,2024-01-01,7031498216346,42367001,5.6
168,2024-01-01,7031498216346,44099001,4.35
169,2024-01-01,7031498216346,42513001,2.85
170,2024-01-01,7031498216346,42157001,3.0
171,2024-01-01,7031498216346,43538001,10.43
172,2024-01-01,7031498216346,43232001,5.09
173,2024-01-01,7031498216346,43157001,3.31
174,2024-01-01,7031498216346,42515001,8.15
175,2024-01-01,7031498216346,44153001,20.88
176,2024-01-01,7031498216346,42586001,20.88
177,2024-01-01,7031498216346,42081001,4.73
178,2024-01-01,7031498216346,43927001,1.67
179,2024-01-01,7031498216346,43227001,4.46
180,2024-01-01,7031498216346,44092001,5.68
181,2024-01-01,7031498216346,42864001,4.75
182,2024-01-01,7031498216346,43518001,6.76
183,2024-01-01,7031498216346,43225001,1.58
184,2024-01-01,7031498216346,42990001,3.27
185,2024-01-01,7031498216346,42180001,4.75
186,2024-01-01,7031498216346,43801001,2.64
187,2024-01-01,7031498216346,42875001,11.38
188,2024-01-01,7031498216346,43605001,9.67
189,2024-01-01,1242859258753,42358001,3.59
190,2024-01-01,1242859258753,42360001,3.59
191,2024-01-01,1242859258753,43480001,7.58
192,2024-01-01,1242859258753,42596001,12.9
193,2024-01-01,1242859258753,42657001,11.38
194,2024-01-01,1242859258753,42177001,5.7
195,2024-01-01,1242859258753,43962001,2.45
196,2024-01-01,808393520472,43445001,5.68
197,2024-01-01,808393520472,43875001,24.68
198,2024-01-01,808393520472,43416001,8.53
199,2024-01-01,808393520472,43060001,3.02
200,2024-01-01,808393520472,43219001,3.48
201,2024-01-01,808393520472,43127001,5.49
202,2024-01-01,808393520472,42716001,7.58
203,2024-01-01,9431954100700,42358001,3.59
204,2024-01-01,9431954100700,42118001,1.41
205,2024-01-01,9431954100700,44116001,6.0
206,2024-01-01,9431954100700,42086001,3.8
207,2024-01-01,9431954100700,42596001,12.9
208,2024-01-01,9431954100700,42800001,4.16
209,2024-01-01,9431954100700,42993001,6.57
210,2024-01-01,9431954100700,43719001,4.75
211,2024-01-01,9431954100700,42884001,4.75
212,2024-01-01,9431954100700,44119001,7.58
213,2024-01-01,9431954100700,43470001,8.15
214,2024-01-01,9431954100700,43993001,7.11
215,2024-01-01,9431954100700,43881001,1.65
216,2024-01-01,9431954100700,43065001,5.66
217,2024-01-01,9431954100700,42882001,4.75
218,2024-01-01,9431954100700,42917001,4.75
219,2024-01-01,9431954100700,43049001,1.9
220,2024-01-01,9431954100700,42943001,6.82
221,2024-01-01,7462405750874,42358001,3.59
222,2024-01-01,7462405750874,43392001,8.34
223,2024-01-01,7462405750874,43402001,5.68
224,2024-01-01,7462405750874,43386001,12.52
225,2024-01-01,7462405750874,42583001,8.15
226,2024-01-01,7462405750874,42671001,7.58
227,2024-01-01,7462405750874,42313001,4.35
228,2024-01-01,7462405750874,43576001,5.11
229,2024-01-01,7462405750874,43710001,5.19
230,2024-01-01,7462405750874,43764001,3.17
231,2024-01-01,7462405750874,42306001,7.58
232,2024-01-01,7462405750874,42306001,7.58
233,2024-01-01,7462405750874,43138001,6.35
234,2024-01-01,7462405750874,42799001,2.85
235,2024-01-01,7462405750874,43420001,5.68
236,2024-01-01,7462405750874,42281001,15.18
237,2024-01-01,7462405750874,43767001,5.57
238,2024-01-01,7462405750874,42321001,3.32
239,2024-01-01,7462405750874,43515001,4.48
240,2024-01-01,7462405750874,43721001,1.84
241,2024-01-01,7462405750874,42098001,6.63
242,2024-01-01,7462405750874,42243001,14.61
243,2024-01-01,7818697572904,43930001,4.52
244,2024-01-01,7818697572904,43480001,7.58
245,2024-01-01,4978514899853,42360001,3.59
246,2024-01-01,4978514899853,42359001,7.01
247,2024-01-01,4978514899853,43392001,8.34
248,2024-01-01,4978514899853,42449001,8.34
249,2024-01-01,4978514899853,43386001,12.52
250,2024-01-01,4978514899853,42563001,7.2
251,2024-01-01,4978514899853,42572001,7.58
252,2024-01-01,4978514899853,42582001,8.15
253,2024-01-01,4978514899853,44002001,4.92
254,2024-01-01,4978514899853,42688001,5.59
255,2024-01-01,4978514899853,42197001,3.17
256,2024-01-01,4978514899853,43592001,14.23
257,2024-01-01,4978514899853,43787001,10.05
258,2024-01-01,4978514899853,42951001,2.58
259,2024-01-01,4978514899853,42279001,27.15
260,2024-01-01,4978514899853,43653001,4.35
261,2024-01-01,4978514899853,42995001,5.38
262,2024-01-01,4978514899853,42797001,3.78
263,2024-01-01,4978514899853,42387001,6.65
264,2024-01-01,4978514899853,43692001,13.28
265,2024-01-01,4978514899853,43923001,3.42
266,2024-01-01,4978514899853,42964001,4.35
267,2024-01-01,4978514899853,42697001,5.3
268,2024-01-01,4978514899853,42284001,15.18
269,2024-01-01,4978514899853,43118001,2.51
270,2024-01-01,4978514899853,43547001,18.98
271,2024-01-01,6155979690010,44035001,2.07
