,Date,CustomerNumber,SKU,SalePrice
0,2024-01-01,388939122608,44077001,1.53
1,2024-01-01,388939122608,42842001,2.93
2,2024-01-01,388939122608,42999001,0.69
3,2024-01-01,388939122608,42258001,1.72
4,2024-01-01,388939122608,42375001,3.41
5,2024-01-01,388939122608,42974001,0.55
6,2024-01-01,388939122608,43142001,3.1
7,2024-01-01,388939122608,43662001,1.01
8,2024-01-01,388939122608,42232001,3.3
9,2024-01-01,388939122608,43653001,2.52
10,2024-01-01,388939122608,42519001,4.72
11,2024-01-01,388939122608,43847001,3.29
12,2024-01-01,388939122608,43093001,3.03
13,2024-01-01,388939122608,43503001,7.69
14,2024-01-01,388939122608,43159001,3.6
15,2024-01-01,388939122608,42376001,1.77
16,2024-01-01,388939122608,42261001,2.68
17,2024-01-01,388939122608,42585001,12.09
18,2024-01-01,388939122608,43514001,2.84
19,2024-01-01,388939122608,42233001,3.3
20,2024-01-01,388939122608,43190001,3.42
21,2024-01-01,388939122608,42638001,2.74
22,2024-01-01,388939122608,43084001,3.65
23,2024-01-01,9493916455969,42358001,2.08
24,2024-01-01,9493916455969,43391001,8.46
25,2024-01-01,9493916455969,42902001,4.83
26,2024-01-01,9493916455969,42941001,2.75
27,2024-01-01,9493916455969,42334001,3.29
28,2024-01-01,9493916455969,42349001,2.41
29,2024-01-01,9493916455969,42573001,4.39
30,2024-01-01,9493916455969,42312001,3.4
31,2024-01-01,9493916455969,42313001,2.52
32,2024-01-01,9493916455969,43438001,2.96
33,2024-01-01,9493916455969,43891001,3.53
34,2024-01-01,9493916455969,43195001,3.5
35,2024-01-01,9493916455969,42957001,2.06
36,2024-01-01,9493916455969,42830001,0.9
37,2024-01-01,9493916455969,42164001,2.75
38,2024-01-01,9493916455969,43742001,4.28
39,2024-01-01,9493916455969,42670001,3.62
40,2024-01-01,9493916455969,42587001,12.09
41,2024-01-01,9493916455969,43918001,3.06
42,2024-01-01,9493916455969,42273001,1.68
43,2024-01-01,9493916455969,42783001,3.18
44,2024-01-01,9493916455969,43662001,1.01
45,2024-01-01,9493916455969,44118001,1.38
46,2024-01-01,9493916455969,43116001,1.88
47,2024-01-01,9493916455969,43750001,1.61
48,2024-01-01,9493916455969,44149001,3.95
49,2024-01-01,9493916455969,43946001,1.24
50,2024-01-01,4442106068392,43131001,3.18
51,2024-01-01,4442106068392,43772001,2.07
52,2024-01-01,4442106068392,42196001,0.75
