,Date,CustomerNumber,SKU,SalePrice
0,2024-01-01,4209419122129,42360001,2.46
1,2024-01-01,4209419122129,42359001,4.8
2,2024-01-01,4209419122129,43394001,4.93
3,2024-01-01,4209419122129,42653001,4.28
4,2024-01-01,4209419122129,43686001,2.59
5,2024-01-01,4209419122129,42573001,5.19
6,2024-01-01,4209419122129,42312001,4.02
7,2024-01-01,4209419122129,42311001,2.98
8,2024-01-01,4209419122129,43313001,1.68
9,2024-01-01,4209419122129,43265001,3.24
10,2024-01-01,4209419122129,44042001,1.42
11,2024-01-01,4209419122129,42726001,5.58
12,2024-01-01,4209419122129,43720001,3.76
13,2024-01-01,4209419122129,42689001,3.63
14,2024-01-01,4209419122129,43959001,1.52
15,2024-01-01,4209419122129,42775001,17.15
16,2024-01-01,4209419122129,42881001,3.25
17,2024-01-01,4209419122129,43957001,1.16
18,2024-01-01,4209419122129,43691001,4.8
19,2024-01-01,4209419122129,43484001,5.45
20,2024-01-01,4209419122129,42475001,4.32
21,2024-01-01,4209419122129,43110001,1.2
22,2024-01-01,4209419122129,43522001,2.51
23,2024-01-01,5994819253,42355001,4.8
24,2024-01-01,5994819253,42923001,5.71
25,2024-01-01,5994819253,43526001,8.18
26,2024-01-01,5994819253,42267001,2.2
27,2024-01-01,5994819253,42524001,4.54
28,2024-01-01,5994819253,42213001,2.24
29,2024-01-01,5994819253,43763001,4.55
30,2024-01-01,5994819253,43481001,5.19
31,2024-01-01,5994819253,43810001,4.49
32,2024-01-01,5994819253,43060001,2.07
33,2024-01-01,5994819253,43233001,2.31
34,2024-01-01,5994819253,42821001,5.71
35,2024-01-01,5994819253,43118001,1.72
36,2024-01-01,5994819253,43920001,2.31
37,2024-01-01,5994819253,42545001,11.69
38,2024-01-01,9638750890876,42355001,4.8
39,2024-01-01,9638750890876,43500001,4.8
40,2024-01-01,9638750890876,43863001,2.2
41,2024-01-01,9638750890876,43174001,1.2
42,2024-01-01,9638750890876,42108001,1.1
43,2024-01-01,9638750890876,42216001,3.56
44,2024-01-01,9638750890876,44133001,1.01
45,2024-01-01,9638750890876,43615001,7.79
46,2024-01-01,9638750890876,43983001,2.26
47,2024-01-01,9638750890876,42802001,4.55
48,2024-01-01,9638750890876,43986001,3.6
49,2024-01-01,9638750890876,42640001,5.06
50,2024-01-01,9638750890876,43003001,3.02
51,2024-01-01,9638750890876,43151001,5.12
52,2024-01-01,9638750890876,42324001,9.09
53,2024-01-01,9638750890876,42656001,7.79
54,2024-01-01,9638750890876,43083001,2.9
55,2024-01-01,9638750890876,42887001,6.49
56,2024-01-01,9638750890876,43519001,2.34
57,2024-01-01,9638750890876,43717001,1.3
58,2024-01-01,9638750890876,42476001,1.91
59,2024-01-01,9638750890876,42983001,2.46
60,2024-01-01,9638750890876,44144001,3.59
61,2024-01-01,9638750890876,44065001,1.81
62,2024-01-01,9638750890876,43876001,1.3
63,2024-01-01,9638750890876,43229001,2.35
64,2024-01-01,9119258365472,42399001,2.17
65,2024-01-01,9119258365472,43540001,7.14
66,2024-01-01,9119258365472,43862001,1.81
67,2024-01-01,9119258365472,43735001,2.11
68,2024-01-01,9119258365472,42549001,2.85
69,2024-01-01,9119258365472,43556001,3.02
70,2024-01-01,9119258365472,42597001,1.3
71,2024-01-01,9119258365472,43937001,2.13
72,2024-01-01,9119258365472,43670001,1.53
73,2024-01-01,9119258365472,42947001,1.56
74,2024-01-01,9119258365472,44064001,1.81
75,2024-01-01,9119258365472,42746001,2.11
76,2024-01-01,9119258365472,43982001,1.82
77,2024-01-01,4386253478921,42359001,4.8
78,2024-01-01,4386253478921,43164001,1.21
79,2024-01-01,4386253478921,42965001,3.89
80,2024-01-01,4386253478921,43659001,2.05
81,2024-01-01,4386253478921,43433001,4.54
82,2024-01-01,3280663518816,42357001,4.8
83,2024-01-01,3280663518816,42357001,4.8
84,2024-01-01,3280663518816,43945001,4.64
85,2024-01-01,3280663518816,42485001,2.78
86,2024-01-01,3280663518816,43118001,1.72
87,2024-01-01,3280663518816,42188001,3.38
88,2024-01-01,3280663518816,42127001,2.29
89,2024-01-01,3280663518816,42132001,3.42
90,2024-01-01,3280663518816,44093001,3.89
91,2024-01-01,3280663518816,43597001,9.74
92,2024-01-01,3280663518816,43990001,5.17
93,2024-01-01,3280663518816,42634001,4.54
94,2024-01-01,3280663518816,42816001,4.28
95,2024-01-01,3280663518816,43431001,4.54
96,2024-01-01,3280663518816,43777001,4.54
97,2024-01-01,3280663518816,43795001,3.84
98,2024-01-01,2608143270216,42358001,2.46
99,2024-01-01,2608143270216,42355001,4.8
100,2024-01-01,2608143270216,43917001,1.83
101,2024-01-01,2608143270216,42843001,1.86
102,2024-01-01,2608143270216,43535001,10.39
103,2024-01-01,2608143270216,42647001,7.79
104,2024-01-01,2608143270216,42471001,1.0
105,2024-01-01,2608143270216,43874001,1.81
106,2024-01-01,2608143270216,43648001,1.81
107,2024-01-01,2608143270216,42700001,3.63
108,2024-01-01,2608143270216,42300001,8.57
109,2024-01-01,2608143270216,42861001,2.59
110,2024-01-01,2608143270216,43635001,9.87
111,2024-01-01,2608143270216,42287001,18.58
112,2024-01-01,2608143270216,43774001,3.11
113,2024-01-01,2483567611357,42356001,2.46
114,2024-01-01,2483567611357,42357001,4.8
115,2024-01-01,2483567611357,42914001,3.25
116,2024-01-01,2483567611357,42346001,3.24
117,2024-01-01,2483567611357,42563001,4.93
118,2024-01-01,2483567611357,42315001,5.19
119,2024-01-01,2483567611357,42312001,4.02
120,2024-01-01,2483567611357,42312001,4.02
121,2024-01-01,2483567611357,44035001,1.42
122,2024-01-01,2483567611357,43289001,1.42
123,2024-01-01,2483567611357,43342001,1.68
124,2024-01-01,2483567611357,44040001,1.03
125,2024-01-01,2483567611357,42612001,14.29
126,2024-01-01,2483567611357,42306001,5.19
127,2024-01-01,2483567611357,44071001,1.81
128,2024-01-01,2483567611357,43048001,4.28
129,2024-01-01,2483567611357,42243001,10.0
130,2024-01-01,2483567611357,43079001,2.95
131,2024-01-01,2483567611357,42665001,8.57
132,2024-01-01,2483567611357,42495001,4.81
133,2024-01-01,2483567611357,43043001,4.28
134,2024-01-01,2483567611357,43761001,1.91
135,2024-01-01,2483567611357,43121001,2.48
136,2024-01-01,2483567611357,43422001,3.89
137,2024-01-01,2483567611357,42322001,0.91
138,2024-01-01,2483567611357,43990001,5.17
139,2024-01-01,2483567611357,43060001,2.07
140,2024-01-01,2483567611357,42728001,4.54
141,2024-01-01,2483567611357,43134001,1.78
142,2024-01-01,1753820008666,42564001,4.93
143,2024-01-01,1753820008666,43326001,1.68
144,2024-01-01,1753820008666,43324001,1.68
145,2024-01-01,1753820008666,42356001,2.46
146,2024-01-01,1753820008666,43210001,28.59
147,2024-01-01,1753820008666,43349001,1.68
148,2024-01-01,1753820008666,42448001,5.71
149,2024-01-01,1753820008666,43290001,1.42
150,2024-01-01,1753820008666,42313001,2.98
151,2024-01-01,1753820008666,43527001,6.49
152,2024-01-01,1753820008666,43285001,4.15
153,2024-01-01,1753820008666,43528001,6.49
154,2024-01-01,4386253478921,42355001,4.8
155,2024-01-01,4386253478921,42356001,2.46
156,2024-01-01,4386253478921,42205001,2.3
157,2024-01-01,4386253478921,43533001,10.39
158,2024-01-01,4386253478921,42849001,3.89
159,2024-01-01,4386253478921,42755001,8.57
160,2024-01-01,7678682329163,42356001,2.46
161,2024-01-01,7678682329163,42359001,4.8
162,2024-01-01,7678682329163,42347001,2.85
163,2024-01-01,7678682329163,43398001,6.1
164,2024-01-01,7678682329163,42527001,5.19
165,2024-01-01,7678682329163,42976001,5.19
166,2024-01-01,7678682329163,42311001,2.98
167,2024-01-01,7678682329163,42314001,2.78
168,2024-01-01,7678682329163,43281001,3.24
169,2024-01-01,7678682329163,43316001,0.9
170,2024-01-01,7678682329163,43283001,3.89
171,2024-01-01,7678682329163,44035001,1.42
172,2024-01-01,7678682329163,44027001,1.03
173,2024-01-01,7678682329163,42790001,24.69
174,2024-01-01,7678682329163,42616001,35.09
175,2024-01-01,7678682329163,43205001,4.67
176,2024-01-01,7678682329163,42989001,2.54
177,2024-01-01,7678682329163,42499001,1.88
178,2024-01-01,7678682329163,43556001,3.02
179,2024-01-01,7678682329163,42141001,0.72
180,2024-01-01,7678682329163,42257001,2.89
181,2024-01-01,7678682329163,43620001,6.36
182,2024-01-01,7678682329163,43567001,3.69
183,2024-01-01,2901642152377,42360001,2.46
184,2024-01-01,2901642152377,42939001,3.25
185,2024-01-01,2901642152377,43606001,4.28
186,2024-01-01,2901642152377,42914001,3.25
187,2024-01-01,2901642152377,42570001,5.19
188,2024-01-01,2901642152377,42267001,2.2
189,2024-01-01,2901642152377,44150001,4.8
190,2024-01-01,2901642152377,42142001,2.04
191,2024-01-01,2901642152377,42744001,2.98
192,2024-01-01,2901642152377,43666001,0.74
193,2024-01-01,2901642152377,43461001,18.45
194,2024-01-01,2901642152377,43865001,2.33
195,2024-01-01,2901642152377,43523001,3.13
196,2024-01-01,2901642152377,43747001,5.08
197,2024-01-01,2901642152377,44009001,1.55
198,2024-01-01,2901642152377,43502001,9.09
199,2024-01-01,2901642152377,42707001,3.63
200,2024-01-01,1845227032945,42359001,4.8
201,2024-01-01,1845227032945,42924001,3.25
202,2024-01-01,1845227032945,42897001,3.25
203,2024-01-01,1845227032945,43689001,2.59
204,2024-01-01,1845227032945,42266001,4.28
205,2024-01-01,1845227032945,42582001,5.58
206,2024-01-01,1845227032945,42311001,2.98
207,2024-01-01,1845227032945,42705001,3.63
208,2024-01-01,1845227032945,43979001,1.68
209,2024-01-01,1845227032945,42680001,2.22
210,2024-01-01,1845227032945,43074001,3.21
211,2024-01-01,1845227032945,43170001,2.25
212,2024-01-01,1845227032945,42167001,3.25
213,2024-01-01,1845227032945,44118001,1.62
214,2024-01-01,8549979491446,42355001,4.8
215,2024-01-01,8549979491446,42357001,4.8
216,2024-01-01,8549979491446,43474001,5.58
217,2024-01-01,8549979491446,42634001,4.54
218,2024-01-01,8549979491446,43904001,0.88
219,2024-01-01,8549979491446,43093001,3.58
220,2024-01-01,3688594584237,43584001,3.37
221,2024-01-01,3688594584237,43057001,3.59
222,2024-01-01,3688594584237,42879001,4.54
223,2024-01-01,3688594584237,43436001,3.5
224,2024-01-01,3688594584237,42107001,1.74
225,2024-01-01,3688594584237,43635001,9.87
226,2024-01-01,3688594584237,43421001,3.89
227,2024-01-01,3688594584237,42910001,3.25
228,2024-01-01,3688594584237,42133001,3.33
229,2024-01-01,3688594584237,42169001,3.9
230,2024-01-01,3688594584237,43053001,1.3
231,2024-01-01,3688594584237,43636001,9.35
232,2024-01-01,3688594584237,42775001,17.15
233,2024-01-01,3688594584237,42731001,11.69
234,2024-01-01,6687684448374,42355001,4.8
235,2024-01-01,6687684448374,42651001,4.28
236,2024-01-01,6687684448374,43395001,4.93
237,2024-01-01,6687684448374,42522001,5.19
238,2024-01-01,6687684448374,42312001,4.02
239,2024-01-01,6687684448374,43050001,1.3
240,2024-01-01,6687684448374,42730001,4.41
241,2024-01-01,8342022819148,42355001,4.8
242,2024-01-01,8342022819148,42357001,4.8
243,2024-01-01,8342022819148,43389001,4.93
244,2024-01-01,8342022819148,42269001,2.59
245,2024-01-01,8342022819148,42314001,2.78
246,2024-01-01,8342022819148,43299001,3.24
247,2024-01-01,8342022819148,44034001,1.42
248,2024-01-01,8342022819148,42600001,13.64
249,2024-01-01,8342022819148,42539001,11.3
250,2024-01-01,8342022819148,43779001,0.73
251,2024-01-01,8342022819148,42292001,10.39
252,2024-01-01,8342022819148,43786001,12.86
253,2024-01-01,8342022819148,42929001,4.67
254,2024-01-01,8342022819148,44101001,1.81
255,2024-01-01,8342022819148,43046001,4.28
256,2024-01-01,8342022819148,42979001,4.8
257,2024-01-01,8342022819148,42240001,1.3
258,2024-01-01,8342022819148,42535001,5.19
259,2024-01-01,8342022819148,43052001,2.85
260,2024-01-01,8342022819148,42464001,4.3
261,2024-01-01,8342022819148,43849001,3.89
262,2024-01-01,8342022819148,42793001,2.85
263,2024-01-01,8342022819148,43057001,3.59
264,2024-01-01,8342022819148,43510001,3.46
265,2024-01-01,1103243790864,42355001,4.8
266,2024-01-01,1103243790864,42523001,4.54
267,2024-01-01,3830797540083,42358001,2.46
268,2024-01-01,3830797540083,42359001,4.8
269,2024-01-01,3830797540083,44130001,7.14
270,2024-01-01,3830797540083,44124001,4.54
271,2024-01-01,3830797540083,42834001,0.83
272,2024-01-01,2071749709857,42360001,2.46
273,2024-01-01,2071749709857,42439001,4.26
274,2024-01-01,2071749709857,42942001,4.67
275,2024-01-01,2071749709857,43526001,8.18
276,2024-01-01,2071749709857,42521001,5.19
277,2024-01-01,2071749709857,43581001,5.14
278,2024-01-01,2071749709857,42684001,0.86
279,2024-01-01,2071749709857,42792001,5.45
280,2024-01-01,2071749709857,43950001,3.6
281,2024-01-01,2071749709857,42083001,5.19
282,2024-01-01,2071749709857,43681001,1.72
283,2024-01-01,2071749709857,42943001,4.67
284,2024-01-01,2071749709857,42633001,10.0
285,2024-01-01,2071749709857,42398001,6.49
286,2024-01-01,2071749709857,42587001,14.29
287,2024-01-01,2071749709857,42637001,1.08
288,2024-01-01,2071749709857,42275001,1.85
289,2024-01-01,2071749709857,42848001,2.59
290,2024-01-01,2071749709857,42910001,3.25
291,2024-01-01,2071749709857,42805001,3.76
292,2024-01-01,2071749709857,42290001,18.58
293,2024-01-01,9645526378375,42359001,4.8
294,2024-01-01,9645526378375,42355001,4.8
295,2024-01-01,9645526378375,43389001,4.93
296,2024-01-01,9645526378375,42926001,5.71
297,2024-01-01,9645526378375,42525001,5.19
298,2024-01-01,9645526378375,44124001,4.54
299,2024-01-01,9645526378375,43158001,5.08
300,2024-01-01,9645526378375,42282001,10.39
301,2024-01-01,9645526378375,42803001,3.9
302,2024-01-01,9645526378375,43644001,3.52
303,2024-01-01,9645526378375,42953001,0.79
304,2024-01-01,9645526378375,43556001,3.02
305,2024-01-01,9645526378375,43597001,9.74
306,2024-01-01,9645526378375,43535001,10.39
307,2024-01-01,9645526378375,42597001,1.3
308,2024-01-01,9645526378375,42256001,3.55
309,2024-01-01,9645526378375,43143001,1.13
310,2024-01-01,9645526378375,42371001,1.26
311,2024-01-01,9645526378375,42244001,4.67
312,2024-01-01,5306583719616,42358001,2.46
313,2024-01-01,5306583719616,43390001,4.93
314,2024-01-01,5306583719616,42446001,11.43
315,2024-01-01,5306583719616,42939001,3.25
316,2024-01-01,5306583719616,42778001,6.1
317,2024-01-01,5306583719616,42313001,2.98
318,2024-01-01,5306583719616,42314001,2.78
319,2024-01-01,5306583719616,43301001,5.84
320,2024-01-01,5306583719616,43379001,3.89
321,2024-01-01,5306583719616,43331001,1.68
322,2024-01-01,5306583719616,43259001,2.07
323,2024-01-01,5306583719616,42612001,14.29
324,2024-01-01,5306583719616,42606001,14.29
325,2024-01-01,5306583719616,43062001,3.67
326,2024-01-01,5306583719616,43962001,1.68
327,2024-01-01,5306583719616,43798001,1.51
328,2024-01-01,5306583719616,42999001,0.82
329,2024-01-01,5306583719616,43987001,3.68
330,2024-01-01,5306583719616,44063001,1.81
331,2024-01-01,5306583719616,42487001,3.0
332,2024-01-01,5306583719616,43948001,0.66
333,2024-01-01,5306583719616,43939001,2.02
334,2024-01-01,5306583719616,43520001,1.87
335,2024-01-01,2222325148992,42356001,2.46
336,2024-01-01,2222325148992,42359001,4.8
337,2024-01-01,2222325148992,42915001,3.25
338,2024-01-01,2222325148992,42575001,5.19
339,2024-01-01,2222325148992,42582001,5.58
340,2024-01-01,2222325148992,42315001,5.19
341,2024-01-01,2222325148992,42311001,2.98
342,2024-01-01,2222325148992,43365001,1.16
343,2024-01-01,2222325148992,43345001,1.68
344,2024-01-01,2222325148992,43028001,14.29
345,2024-01-01,2222325148992,43978001,1.68
346,2024-01-01,2222325148992,44072001,1.81
347,2024-01-01,2222325148992,43619001,6.62
348,2024-01-01,2222325148992,42404001,1.3
349,2024-01-01,2222325148992,43843001,1.72
350,2024-01-01,2222325148992,43870001,5.58
351,2024-01-01,2222325148992,43833001,2.34
352,2024-01-01,2222325148992,43817001,3.34
353,2024-01-01,2222325148992,43193001,2.46
354,2024-01-01,2222325148992,42756001,8.57
355,2024-01-01,6104580735509,42964001,2.98
356,2024-01-01,6104580735509,42511001,2.33
357,2024-01-01,6104580735509,43089001,3.73
358,2024-01-01,6104580735509,42137001,4.69
359,2024-01-01,6104580735509,42777001,5.19
360,2024-01-01,6104580735509,42089001,4.67
361,2024-01-01,6104580735509,42384001,4.36
362,2024-01-01,6104580735509,43499001,5.84
363,2024-01-01,6104580735509,43671001,2.74
364,2024-01-01,6104580735509,43133001,2.9
365,2024-01-01,6104580735509,42641001,5.19
366,2024-01-01,6104580735509,43199001,3.85
367,2024-01-01,6104580735509,43231001,2.85
368,2024-01-01,6104580735509,43143001,1.13
369,2024-01-01,6104580735509,42361001,1.29
370,2024-01-01,6104580735509,42858001,2.59
371,2024-01-01,6104580735509,43489001,5.45
372,2024-01-01,4984659783850,42358001,2.46
373,2024-01-01,4984659783850,42348001,2.85
374,2024-01-01,4984659783850,42346001,3.24
375,2024-01-01,4984659783850,42446001,11.43
376,2024-01-01,4984659783850,44124001,4.54
377,2024-01-01,4984659783850,42402001,2.17
378,2024-01-01,4984659783850,43816001,3.52
379,2024-01-01,4984659783850,44120001,5.19
380,2024-01-01,4984659783850,42301001,8.57
381,2024-01-01,4984659783850,43850001,2.2
382,2024-01-01,4984659783850,43223001,1.9
383,2024-01-01,4984659783850,44066001,1.81
384,2024-01-01,4984659783850,42844001,3.82
385,2024-01-01,4984659783850,42238001,1.3
386,2024-01-01,4984659783850,43884001,2.16
387,2024-01-01,4984659783850,44157001,8.57
388,2024-01-01,4984659783850,42847001,1.55
389,2024-01-01,4984659783850,43168001,3.12
390,2024-01-01,4984659783850,42402001,2.17
391,2024-01-01,4984659783850,42202001,2.14
392,2024-01-01,4984659783850,42136001,3.25
393,2024-01-01,4002897185617,44046001,1.68
394,2024-01-01,4002897185617,43354001,1.68
395,2024-01-01,4002897185617,43017001,14.29
396,2024-01-01,4002897185617,44026001,1.03
397,2024-01-01,4002897185617,44013001,2.98
398,2024-01-01,4002897185617,43397001,6.1
399,2024-01-01,4002897185617,42313001,2.98
400,2024-01-01,4002897185617,42358001,2.46
401,2024-01-01,4002897185617,43342001,1.68
402,2024-01-01,6030657140001,42357001,4.8
403,2024-01-01,6030657140001,42653001,4.28
404,2024-01-01,6030657140001,42447001,5.71
405,2024-01-01,6030657140001,42898001,3.25
406,2024-01-01,6030657140001,42581001,4.93
407,2024-01-01,6030657140001,42575001,5.19
408,2024-01-01,6030657140001,43628001,7.79
409,2024-01-01,6030657140001,43159001,4.25
410,2024-01-01,6030657140001,42481001,2.59
411,2024-01-01,6030657140001,43058001,2.95
412,2024-01-01,6030657140001,43485001,5.45
413,2024-01-01,6030657140001,43911001,3.44
414,2024-01-01,6030657140001,42831001,0.75
415,2024-01-01,6030657140001,42101001,9.48
416,2024-01-01,6030657140001,44050001,2.0
417,2024-01-01,6030657140001,43878001,4.1
418,2024-01-01,6030657140001,42592001,14.29
419,2024-01-01,6030657140001,42701001,3.63
420,2024-01-01,6030657140001,43085001,4.86
421,2024-01-01,6030657140001,42591001,14.29
422,2024-01-01,6030657140001,43696001,9.09
423,2024-01-01,6030657140001,42797001,2.59
424,2024-01-01,6030657140001,43733001,4.58
425,2024-01-01,6030657140001,44116001,4.11
426,2024-01-01,6030657140001,43736001,5.68
427,2024-01-01,6030657140001,42146001,1.14
428,2024-01-01,6030657140001,42215001,0.75
429,2024-01-01,6030657140001,42887001,6.49
430,2024-01-01,6030657140001,42956001,1.7
431,2024-01-01,6030657140001,43229001,2.35
432,2024-01-01,606419931751,42925001,4.8
433,2024-01-01,606419931751,43898001,1.88
434,2024-01-01,606419931751,43382001,2.47
435,2024-01-01,606419931751,43087001,3.44
436,2024-01-01,606419931751,43197001,3.56
437,2024-01-01,606419931751,42362001,2.2
438,2024-01-01,606419931751,42300001,8.57
439,2024-01-01,606419931751,42767001,5.19
440,2024-01-01,606419931751,42182001,3.25
441,2024-01-01,606419931751,42891001,4.9
442,2024-01-01,606419931751,43981001,0.78
443,2024-01-01,606419931751,42403001,2.17
444,2024-01-01,699085078803,43208001,2.33
445,2024-01-01,699085078803,42378001,3.59
446,2024-01-01,699085078803,42538001,1.42
447,2024-01-01,699085078803,44009001,1.55
448,2024-01-01,699085078803,44066001,1.81
449,2024-01-01,699085078803,42747001,3.13
450,2024-01-01,699085078803,43814001,2.08
451,2024-01-01,699085078803,43237001,5.06
452,2024-01-01,699085078803,42292001,10.39
453,2024-01-01,699085078803,43084001,4.32
454,2024-01-01,699085078803,43717001,1.3
455,2024-01-01,699085078803,42284001,10.39
456,2024-01-01,699085078803,43620001,6.36
457,2024-01-01,699085078803,42516001,5.58
458,2024-01-01,699085078803,42186001,4.73
459,2024-01-01,699085078803,42821001,5.71
460,2024-01-01,699085078803,42386001,4.73
461,2024-01-01,699085078803,43879001,2.02
462,2024-01-01,699085078803,43553001,3.24
463,2024-01-01,699085078803,43898001,1.88
464,2024-01-01,3077017927861,42359001,4.8
465,2024-01-01,3077017927861,42356001,2.46
466,2024-01-01,3077017927861,42920001,3.89
467,2024-01-01,3077017927861,42873001,3.89
468,2024-01-01,3077017927861,43395001,4.93
469,2024-01-01,3077017927861,43527001,6.49
470,2024-01-01,3077017927861,43987001,3.68
471,2024-01-01,3077017927861,43103001,1.73
472,2024-01-01,3077017927861,42947001,1.56
473,2024-01-01,3077017927861,43889001,4.32
474,2024-01-01,3077017927861,43201001,1.16
475,2024-01-01,3077017927861,42180001,3.25
476,2024-01-01,3077017927861,43238001,1.47
