,Date,CustomerNumber,SKU,SalePrice
0,2024-01-01,3908436450986,42358001,3.21
1,2024-01-01,3908436450986,42355001,6.27
2,2024-01-01,3908436450986,42424001,2.84
3,2024-01-01,3908436450986,44056001,3.13
4,2024-01-01,4026676518470,42356001,3.21
5,2024-01-01,4026676518470,42359001,6.27
6,2024-01-01,4026676518470,42652001,5.59
7,2024-01-01,4026676518470,42441001,7.46
8,2024-01-01,4026676518470,42439001,5.58
9,2024-01-01,4026676518470,43528001,8.48
10,2024-01-01,4026676518470,42312001,5.25
11,2024-01-01,4026676518470,42285001,13.58
12,2024-01-01,4026676518470,42753001,2.84
13,2024-01-01,4026676518470,43071001,4.91
14,2024-01-01,4026676518470,42113001,2.91
15,2024-01-01,4026676518470,43708001,0.94
16,2024-01-01,4026676518470,42579001,5.76
17,2024-01-01,4026676518470,43990001,6.77
18,2024-01-01,4026676518470,44126001,5.59
19,2024-01-01,4026676518470,43572001,2.57
20,2024-01-01,4026676518470,42856001,5.08
21,2024-01-01,4026676518470,42882001,4.25
22,2024-01-01,4026676518470,43893001,3.13
23,2024-01-01,4026676518470,42108001,1.44
24,2024-01-01,4026676518470,43836001,1.38
25,2024-01-01,4026676518470,42547001,3.72
26,2024-01-01,4026676518470,44113001,1.53
27,2024-01-01,4026676518470,42382001,3.16
28,2024-01-01,4026676518470,43652001,3.16
29,2024-01-01,4026676518470,42353001,10.18
30,2024-01-01,4026676518470,43624001,5.59
31,2024-01-01,4026676518470,43105001,4.79
32,2024-01-01,4026676518470,42829001,4.4
33,2024-01-01,7198373243478,42837001,4.23
34,2024-01-01,7198373243478,43844001,16.81
35,2024-01-01,7198373243478,42629001,5.93
36,2024-01-01,7198373243478,43470001,7.29
37,2024-01-01,7198373243478,42431001,1.7
38,2024-01-01,7198373243478,43084001,5.64
39,2024-01-01,7198373243478,44152001,20.38
40,2024-01-01,7198373243478,43188001,5.07
41,2024-01-01,7198373243478,42596001,11.54
42,2024-01-01,7198373243478,42867001,5.08
43,2024-01-01,7198373243478,42416001,2.84
44,2024-01-01,7198373243478,42240001,1.7
45,2024-01-01,7198373243478,42670001,5.59
46,2024-01-01,7198373243478,43641001,2.86
47,2024-01-01,7198373243478,42344001,11.88
48,2024-01-01,7198373243478,43891001,5.46
49,2024-01-01,8631690621799,42879001,5.93
50,2024-01-01,8631690621799,42116001,4.13
51,2024-01-01,8631690621799,43243001,11.88
52,2024-01-01,8631690621799,44133001,1.33
53,2024-01-01,8631690621799,42499001,2.46
54,2024-01-01,8631690621799,44087001,4.4
55,2024-01-01,8631690621799,43595001,12.05
56,2024-01-01,8631690621799,43557001,2.06
57,2024-01-01,8631690621799,42160001,3.18
58,2024-01-01,8631690621799,43748001,3.21
59,2024-01-01,8631690621799,42959001,3.38
60,2024-01-01,8631690621799,42537001,3.72
61,2024-01-01,8631690621799,43987001,4.81
62,2024-01-01,8631690621799,44004001,5.42
63,2024-01-01,8631690621799,42434001,15.28
64,2024-01-01,8631690621799,42510001,33.98
65,2024-01-01,8631690621799,43864001,3.04
66,2024-01-01,8631690621799,43901001,5.66
67,2024-01-01,8631690621799,42507001,2.07
68,2024-01-01,8631690621799,43001001,6.26
69,2024-01-01,8631690621799,44110001,7.46
70,2024-01-01,8631690621799,42399001,2.84
71,2024-01-01,8631690621799,44108001,3.38
72,2024-01-01,8631690621799,42561001,3.72
73,2024-01-01,8631690621799,43539001,13.58
74,2024-01-01,8631690621799,43954001,2.3
75,2024-01-01,8631690621799,44095001,5.08
76,2024-01-01,8631690621799,42703001,4.74
77,2024-01-01,6700344774101,42457001,5.03
78,2024-01-01,6700344774101,42927001,6.1
79,2024-01-01,6700344774101,43734001,2.99
80,2024-01-01,6700344774101,43819001,4.93
81,2024-01-01,6700344774101,43441001,5.08
82,2024-01-01,6700344774101,43442001,4.57
83,2024-01-01,6700344774101,43003001,3.94
84,2024-01-01,6700344774101,42982001,4.91
85,2024-01-01,6700344774101,43534001,9.33
86,2024-01-01,6700344774101,43206001,4.52
87,2024-01-01,6700344774101,42164001,4.25
88,2024-01-01,6700344774101,43546001,13.58
89,2024-01-01,6700344774101,43600001,12.9
90,2024-01-01,6700344774101,44146001,4.66
91,2024-01-01,6700344774101,43889001,5.64
92,2024-01-01,6700344774101,43450001,4.57
93,2024-01-01,6700344774101,43205001,6.1
94,2024-01-01,6700344774101,44136001,4.5
95,2024-01-01,6700344774101,42363001,5.59
96,2024-01-01,6700344774101,42435001,1.51
97,2024-01-01,6700344774101,42145001,3.76
98,2024-01-01,6700344774101,42424001,2.84
99,2024-01-01,6700344774101,43170001,2.94
100,2024-01-01,6700344774101,43638001,12.22
101,2024-01-01,6700344774101,42201001,6.44
102,2024-01-01,6700344774101,43428001,5.93
103,2024-01-01,6700344774101,43141001,2.55
104,2024-01-01,6700344774101,42236001,1.7
105,2024-01-01,1039470330024,43491001,6.27
106,2024-01-01,1039470330024,43776001,5.93
107,2024-01-01,1039470330024,43889001,5.64
108,2024-01-01,1039470330024,43654001,2.46
109,2024-01-01,1039470330024,42959001,3.38
110,2024-01-01,1039470330024,43934001,3.74
111,2024-01-01,1039470330024,43082001,4.2
112,2024-01-01,1039470330024,43731001,3.96
113,2024-01-01,1039470330024,43577001,5.3
114,2024-01-01,1039470330024,42702001,5.08
115,2024-01-01,1039470330024,42656001,10.18
116,2024-01-01,1039470330024,44088001,4.4
117,2024-01-01,1039470330024,43703001,0.88
118,2024-01-01,1039470330024,43970001,2.19
119,2024-01-01,1039470330024,43728001,3.09
120,2024-01-01,1340619652077,42518001,7.29
121,2024-01-01,1340619652077,42205001,3.01
122,2024-01-01,1340619652077,42475001,5.64
123,2024-01-01,1340619652077,42686001,1.17
124,2024-01-01,1340619652077,42546001,3.72
125,2024-01-01,1340619652077,42353001,10.18
126,2024-01-01,1340619652077,43008001,2.87
127,2024-01-01,1340619652077,43791001,1.7
128,2024-01-01,1340619652077,43002001,1.5
129,2024-01-01,1340619652077,42718001,4.06
130,2024-01-01,1340619652077,43102001,6.54
131,2024-01-01,1340619652077,42734001,1.68
132,2024-01-01,5039128925608,43480001,6.78
133,2024-01-01,5039128925608,43540001,9.33
134,2024-01-01,5039128925608,42834001,1.09
135,2024-01-01,5039128925608,43670001,2.01
136,2024-01-01,5039128925608,43159001,5.56
137,2024-01-01,5039128925608,43570001,4.5
138,2024-01-01,5039128925608,44117001,1.12
139,2024-01-01,5039128925608,44099001,3.89
140,2024-01-01,5039128925608,43642001,1.63
141,2024-01-01,5282178362877,42355001,6.27
142,2024-01-01,5282178362877,43001001,6.26
143,2024-01-01,5282178362877,44107001,3.38
144,2024-01-01,5282178362877,43664001,3.11
145,2024-01-01,5282178362877,43922001,5.08
146,2024-01-01,5282178362877,43856001,1.95
147,2024-01-01,5282178362877,42597001,1.7
148,2024-01-01,5282178362877,42553001,3.72
149,2024-01-01,5282178362877,43600001,12.9
150,2024-01-01,5282178362877,42747001,4.1
151,2024-01-01,5282178362877,42121001,2.41
152,2024-01-01,5282178362877,42534001,3.72
153,2024-01-01,5282178362877,43053001,1.7
154,2024-01-01,5282178362877,43219001,3.11
155,2024-01-01,5282178362877,43974001,2.19
156,2024-01-01,5282178362877,43795001,5.02
157,2024-01-01,5282178362877,42935001,6.1
158,2024-01-01,4737236734601,42355001,6.27
159,2024-01-01,4737236734601,42357001,6.27
160,2024-01-01,4737236734601,42985001,3.25
161,2024-01-01,8443207528439,42356001,3.21
162,2024-01-01,8443207528439,43316001,1.17
163,2024-01-01,8443207528439,43367001,1.51
164,2024-01-01,8443207528439,43349001,2.19
165,2024-01-01,8443207528439,42653001,5.59
166,2024-01-01,8443207528439,43018001,18.68
167,2024-01-01,8443207528439,42347001,3.72
168,2024-01-01,8443207528439,42314001,3.64
169,2024-01-01,7313919061915,42356001,3.21
170,2024-01-01,7313919061915,42446001,14.94
171,2024-01-01,7313919061915,43386001,11.2
172,2024-01-01,7313919061915,42520001,6.78
173,2024-01-01,7313919061915,42581001,6.44
174,2024-01-01,7313919061915,43537001,13.58
175,2024-01-01,7313919061915,42204001,1.04
176,2024-01-01,7313919061915,42192001,3.18
177,2024-01-01,7313919061915,42197001,2.84
178,2024-01-01,7313919061915,44006001,1.29
179,2024-01-01,7313919061915,42745001,3.79
180,2024-01-01,7313919061915,43906001,3.14
181,2024-01-01,7313919061915,43619001,8.65
