,Date,CustomerNumber,SKU,SalePrice
0,2024-01-01,6583178919435,43350001,1.94
1,2024-01-01,6583178919435,42609001,15.74
2,2024-01-01,6583178919435,42449001,6.58
3,2024-01-01,6583178919435,44023001,1.64
4,2024-01-01,6583178919435,43526001,9.44
5,2024-01-01,6583178919435,42609001,15.74
6,2024-01-01,6583178919435,42443001,6.58
7,2024-01-01,6583178919435,43529001,7.48
8,2024-01-01,9019884636676,42462001,1.77
9,2024-01-01,9019884636676,43913001,5.86
10,2024-01-01,9019884636676,42857001,2.54
11,2024-01-01,9019884636676,42200001,1.76
12,2024-01-01,9019884636676,42368001,4.38
13,2024-01-01,9019884636676,42118001,1.11
14,2024-01-01,9019884636676,43474001,6.44
15,2024-01-01,9019884636676,43046001,4.94
16,2024-01-01,9019884636676,43729001,2.0
17,2024-01-01,9019884636676,43172001,3.56
18,2024-01-01,9019884636676,42352001,8.98
19,2024-01-01,9019884636676,43642001,1.44
20,2024-01-01,9019884636676,42895001,3.75
21,2024-01-01,9019884636676,42172001,4.5
22,2024-01-01,9019884636676,43231001,3.28
23,2024-01-01,9019884636676,43958001,3.0
24,2024-01-01,9019884636676,42226001,2.61
25,2024-01-01,9019884636676,42888001,3.75
26,2024-01-01,8129422050269,42662001,2.54
27,2024-01-01,8129422050269,42795001,2.98
28,2024-01-01,8129422050269,42283001,11.98
29,2024-01-01,8129422050269,43412001,4.49
30,2024-01-01,8129422050269,43484001,6.28
31,2024-01-01,8129422050269,43580001,1.22
32,2024-01-01,8129422050269,43806001,3.33
33,2024-01-01,8129422050269,44066001,2.08
34,2024-01-01,8129422050269,42256001,4.1
35,2024-01-01,8129422050269,43738001,7.48
36,2024-01-01,8129422050269,43945001,5.36
37,2024-01-01,8129422050269,42123001,4.76
38,2024-01-01,8129422050269,43643001,4.46
39,2024-01-01,8129422050269,43858001,8.24
40,2024-01-01,8129422050269,43694001,10.48
41,2024-01-01,8129422050269,42490001,2.36
42,2024-01-01,8129422050269,42377001,1.02
43,2024-01-01,8129422050269,42769001,5.98
44,2024-01-01,8129422050269,42190001,5.1
45,2024-01-01,8129422050269,42128001,1.74
46,2024-01-01,8129422050269,43249001,10.48
47,2024-01-01,8129422050269,42196001,1.02
48,2024-01-01,8129422050269,43631001,7.48
49,2024-01-01,8129422050269,43175001,3.2
50,2024-01-01,8129422050269,43743001,5.72
51,2024-01-01,8129422050269,43135001,3.27
52,2024-01-01,8129422050269,43465001,4.94
53,2024-01-01,8129422050269,43594001,11.24
54,2024-01-01,8129422050269,43977001,1.94
55,2024-01-01,6477867444268,42355001,5.54
56,2024-01-01,6477867444268,42360001,2.84
57,2024-01-01,6477867444268,43977001,1.94
58,2024-01-01,6477867444268,42101001,10.94
59,2024-01-01,6477867444268,42223001,1.1
60,2024-01-01,6477867444268,43100001,4.06
61,2024-01-01,6477867444268,42883001,3.75
62,2024-01-01,6477867444268,42848001,2.98
63,2024-01-01,6477867444268,43761001,2.2
64,2024-01-01,6477867444268,43240001,4.46
65,2024-01-01,6477867444268,42998001,4.81
