,Date,CustomerNumber,SKU,SalePrice
0,2024-01-01,2096700083566,44007001,1.22
1,2024-01-01,2096700083566,42170001,5.4
2,2024-01-01,2096700083566,43066001,6.88
3,2024-01-01,2096700083566,42706001,5.02
4,2024-01-01,2096700083566,43574001,2.95
5,2024-01-01,2096700083566,43632001,8.98
6,2024-01-01,2096700083566,43141001,2.7
7,2024-01-01,2096700083566,43499001,8.08
8,2024-01-01,19679028664,42356001,3.4
9,2024-01-01,19679028664,42357001,6.64
10,2024-01-01,19679028664,42449001,7.9
11,2024-01-01,19679028664,42938001,4.5
12,2024-01-01,19679028664,42346001,4.48
13,2024-01-01,19679028664,42522001,7.18
14,2024-01-01,19679028664,42570001,7.18
15,2024-01-01,19679028664,42311001,4.12
16,2024-01-01,19679028664,42313001,4.12
17,2024-01-01,19679028664,43378001,1.6
18,2024-01-01,19679028664,43318001,2.32
19,2024-01-01,19679028664,42726001,7.72
20,2024-01-01,19679028664,42399001,3.01
21,2024-01-01,19679028664,42092001,1.8
22,2024-01-01,19679028664,42344001,12.58
23,2024-01-01,19679028664,43621001,10.78
24,2024-01-01,19679028664,43664001,3.29
25,2024-01-01,19679028664,43226001,5.06
26,2024-01-01,19679028664,43715001,3.53
27,2024-01-01,6899250838427,42360001,3.4
28,2024-01-01,9271255040541,43254001,5.02
29,2024-01-01,9271255040541,42360001,3.4
30,2024-01-01,9271255040541,42314001,3.85
31,2024-01-01,9271255040541,43334001,2.32
32,2024-01-01,9271255040541,42360001,3.4
33,2024-01-01,9271255040541,42312001,5.56
34,2024-01-01,9271255040541,43010001,18.88
35,2024-01-01,9271255040541,44122001,6.28
36,2024-01-01,3376741457338,42355001,6.64
37,2024-01-01,3376741457338,42922001,5.38
38,2024-01-01,3376741457338,44130001,9.88
39,2024-01-01,3376741457338,42942001,6.46
40,2024-01-01,3376741457338,42525001,7.18
41,2024-01-01,3376741457338,42313001,4.12
42,2024-01-01,3376741457338,42312001,5.56
43,2024-01-01,3376741457338,43337001,2.32
44,2024-01-01,3376741457338,43376001,1.6
45,2024-01-01,3376741457338,42789001,16.18
46,2024-01-01,3376741457338,43217001,39.58
47,2024-01-01,3376741457338,43824001,3.01
48,2024-01-01,3376741457338,43112001,1.24
49,2024-01-01,3376741457338,44100001,2.5
50,2024-01-01,3376741457338,43778001,1.15
51,2024-01-01,3376741457338,44067001,2.5
52,2024-01-01,3376741457338,43437001,5.92
53,2024-01-01,3376741457338,42554001,3.94
54,2024-01-01,3376741457338,44097001,2.5
55,2024-01-01,3376741457338,43765001,5.27
56,2024-01-01,3376741457338,42624001,9.52
57,2024-01-01,3376741457338,43778001,1.15
58,2024-01-01,3376741457338,42535001,7.18
59,2024-01-01,3376741457338,43783001,1.6
60,2024-01-01,3376741457338,43189001,2.36
61,2024-01-01,3376741457338,42294001,14.38
62,2024-01-01,3376741457338,42228001,2.93
63,2024-01-01,3376741457338,42211001,2.05
64,2024-01-01,3376741457338,44151001,11.86
65,2024-01-01,3376741457338,43712001,6.1
66,2024-01-01,2800694806042,42355001,6.64
67,2024-01-01,2800694806042,42356001,3.4
68,2024-01-01,2800694806042,43530001,10.24
